año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,10.2,9.5,11,"8,651,832"
2021,estratificado,hombre,-,-,-,-,-,-,9,8.1,10.1,"3,652,135"
